代號,名稱,領域
2363,矽統,特殊應用積體電路(ASIC)
2388,威盛,特殊應用積體電路(ASIC)
2401,凌陽,特殊應用積體電路(ASIC)
2454,聯發科,特殊應用積體電路(ASIC)
3034,聯詠,特殊應用積體電路(ASIC)
3035,智原,特殊應用積體電路(ASIC)
3443,創意,特殊應用積體電路(ASIC)
3661,世芯-KY,特殊應用積體電路(ASIC)
6695,芯鼎,特殊應用積體電路(ASIC)
1560,中砂,先進封裝(CoWoS/3DIC)
1711,永光,先進封裝(CoWoS/3DIC)
1717,長興,先進封裝(CoWoS/3DIC)
2308,台達電,先進封裝(CoWoS/3DIC)
2316,楠梓電,先進封裝(CoWoS/3DIC)
2330,台積電,先進封裝(CoWoS/3DIC)
2360,致茂,先進封裝(CoWoS/3DIC)
2395,研華,先進封裝(CoWoS/3DIC)
2449,京元電子,先進封裝(CoWoS/3DIC)
2467,志聖,先進封裝(CoWoS/3DIC)
3037,欣興,先進封裝(CoWoS/3DIC)
3563,牧德,先進封裝(CoWoS/3DIC)
3583,辛耘,先進封裝(CoWoS/3DIC)
3711,日月光投控,先進封裝(CoWoS/3DIC)
6515,穎崴,先進封裝(CoWoS/3DIC)
2059,川湖,AI伺服器與資料中心
2301,光寶科,AI伺服器與資料中心
2308,台達電,AI伺服器與資料中心
2317,鴻海,AI伺服器與資料中心
2330,台積電,AI伺服器與資料中心
2354,鴻準,AI伺服器與資料中心
2356,英業達,AI伺服器與資料中心
2368,金像電,AI伺服器與資料中心
2376,技嘉,AI伺服器與資料中心
2382,廣達,AI伺服器與資料中心
2383,台光電,AI伺服器與資料中心
2392,正崴,AI伺服器與資料中心
2421,建準,AI伺服器與資料中心
3017,奇鋐,AI伺服器與資料中心
3037,欣興,AI伺服器與資料中心
3090,日電貿,AI伺服器與資料中心
3231,緯創,AI伺服器與資料中心
3533,嘉澤,AI伺服器與資料中心
3665,貿聯-KY,AI伺服器與資料中心
3711,日月光投控,AI伺服器與資料中心
6197,佳必琪,AI伺服器與資料中心
6558,興能高,AI伺服器與資料中心
6669,緯穎,AI伺服器與資料中心
6781,AES-KY,AI伺服器與資料中心
6805,富世達,AI伺服器與資料中心
8104,錸寶,AI伺服器與資料中心
8210,勤誠,AI伺服器與資料中心
8996,高力,AI伺服器與資料中心
3037,欣興,IC載板
3189,景碩,IC載板
4958,臻鼎-KY,IC載板
8046,南電,IC載板
2241,艾姆勒,功率半導體
2303,聯電,功率半導體
2330,台積電,功率半導體
2342,茂矽,功率半導體
2351,順德,功率半導體
2441,超豐,功率半導體
2481,強茂,功率半導體
3016,嘉晶,功率半導體
3653,健策,功率半導體
3686,達能,功率半導體
5222,全訊,功率半導體
5285,界霖,功率半導體
6525,捷敏-KY,功率半導體
6573,虹揚-KY,功率半導體
6719,力智,功率半導體
8028,昇陽半導體,功率半導體
8261,富鼎,功率半導體
1560,中砂,次世代半導體(GaN/SiC)
2330,台積電,次世代半導體(GaN/SiC)
2340,台亞,次世代半導體(GaN/SiC)
2342,茂矽,次世代半導體(GaN/SiC)
2455,全新,次世代半導體(GaN/SiC)
3016,嘉晶,次世代半導體(GaN/SiC)
3576,聯合再生,次世代半導體(GaN/SiC)
3714,富采,次世代半導體(GaN/SiC)
4934,太極,次世代半導體(GaN/SiC)
1521,大億,智慧駕駛(ADAS/V2X)
1533,車王電,智慧駕駛(ADAS/V2X)
2204,中華,智慧駕駛(ADAS/V2X)
2228,劍麟,智慧駕駛(ADAS/V2X)
2231,為升,智慧駕駛(ADAS/V2X)
2301,光寶科,智慧駕駛(ADAS/V2X)
2308,台達電,智慧駕駛(ADAS/V2X)
2317,鴻海,智慧駕駛(ADAS/V2X)
2327,國巨*,智慧駕駛(ADAS/V2X)
2329,華泰,智慧駕駛(ADAS/V2X)
2330,台積電,智慧駕駛(ADAS/V2X)
2337,旺宏,智慧駕駛(ADAS/V2X)
2344,華邦電,智慧駕駛(ADAS/V2X)
2353,宏碁,智慧駕駛(ADAS/V2X)
2355,敬鵬,智慧駕駛(ADAS/V2X)
2357,華碩,智慧駕駛(ADAS/V2X)
2367,燿華,智慧駕駛(ADAS/V2X)
2377,微星,智慧駕駛(ADAS/V2X)
2379,瑞昱,智慧駕駛(ADAS/V2X)
2392,正崴,智慧駕駛(ADAS/V2X)
2401,凌陽,智慧駕駛(ADAS/V2X)
2409,友達,智慧駕駛(ADAS/V2X)
2412,中華電,智慧駕駛(ADAS/V2X)
2428,興勤,智慧駕駛(ADAS/V2X)
2436,偉詮電,智慧駕駛(ADAS/V2X)
2454,聯發科,智慧駕駛(ADAS/V2X)
2462,良得電,智慧駕駛(ADAS/V2X)
2497,怡利電,智慧駕駛(ADAS/V2X)
2498,宏達電,智慧駕駛(ADAS/V2X)
3014,聯陽,智慧駕駛(ADAS/V2X)
3036,文曄,智慧駕駛(ADAS/V2X)
3059,華晶科,智慧駕駛(ADAS/V2X)
3094,聯傑,智慧駕駛(ADAS/V2X)
3346,麗清,智慧駕駛(ADAS/V2X)
3380,明泰,智慧駕駛(ADAS/V2X)
3419,譁裕,智慧駕駛(ADAS/V2X)
3481,群創,智慧駕駛(ADAS/V2X)
3504,揚明光,智慧駕駛(ADAS/V2X)
3535,晶彩科,智慧駕駛(ADAS/V2X)
3665,貿聯-KY,智慧駕駛(ADAS/V2X)
3702,大聯大,智慧駕駛(ADAS/V2X)
3706,神達,智慧駕駛(ADAS/V2X)
4904,遠傳,智慧駕駛(ADAS/V2X)
4919,新唐,智慧駕駛(ADAS/V2X)
4976,佳凌,智慧駕駛(ADAS/V2X)
5388,中磊,智慧駕駛(ADAS/V2X)
6202,盛群,智慧駕駛(ADAS/V2X)
6205,詮欣,智慧駕駛(ADAS/V2X)
6283,淳安,智慧駕駛(ADAS/V2X)
6285,啟碁,智慧駕駛(ADAS/V2X)
6451,訊芯-KY,智慧駕駛(ADAS/V2X)
6533,晶心科,智慧駕駛(ADAS/V2X)
8046,南電,智慧駕駛(ADAS/V2X)
2002,中鋼,國防產業
2049,上銀,國防產業
2208,台船,國防產業
2360,致茂,國防產業
2634,漢翔,國防產業
2645,長榮航太,國防產業
3004,豐達科,國防產業
3005,神基,國防產業
3416,融程電,國防產業
4536,拓凱,國防產業
4916,事欣科,國防產業
5222,全訊,國防產業
6416,瑞祺電通,國防產業
6753,龍德造船,國防產業
8222,寶一,國防產業
1503,士電,機器人與智慧機械
1504,東元,機器人與智慧機械
1536,和大,機器人與智慧機械
1583,程泰,機器人與智慧機械
1590,亞德客-KY,機器人與智慧機械
1597,直得,機器人與智慧機械
2049,上銀,機器人與智慧機械
2308,台達電,機器人與智慧機械
2317,鴻海,機器人與智慧機械
2324,仁寶,機器人與智慧機械
2345,智邦,機器人與智慧機械
2352,佳世達,機器人與智慧機械
2354,鴻準,機器人與智慧機械
2357,華碩,機器人與智慧機械
2359,所羅門,機器人與智慧機械
2360,致茂,機器人與智慧機械
2365,昆盈,機器人與智慧機械
2371,大同,機器人與智慧機械
2374,佳能,機器人與智慧機械
2377,微星,機器人與智慧機械
2382,廣達,機器人與智慧機械
2395,研華,機器人與智慧機械
2458,義隆,機器人與智慧機械
2464,盟立,機器人與智慧機械
2467,志聖,機器人與智慧機械
3003,健和興,機器人與智慧機械
3008,大立光,機器人與智慧機械
3019,亞光,機器人與智慧機械
3022,威強電,機器人與智慧機械
3030,德律,機器人與智慧機械
4562,穎漢,機器人與智慧機械
4576,大銀微系統,機器人與智慧機械
6166,凌華,機器人與智慧機械
8374,羅昇,機器人與智慧機械
2330,台積電,量子電腦
3711,日月光投控,量子電腦
2308,台達電,量子電腦
3443,創意,量子電腦
3661,世芯-KY,量子電腦
6239,力成,量子電腦
3037,欣興,量子電腦
8046,南電,量子電腦
6230,尼得科超眾,量子電腦
2454,聯發科,量子電腦
2467,志聖,量子電腦
2464,盟立,量子電腦
3583,辛耘,量子電腦
3189,景碩,量子電腦
6139,亞翔,記憶體產業鏈/熱門股
2313,華通,記憶體產業鏈/熱門股
6443,元晶,記憶體產業鏈/熱門股
4906,正文,記憶體產業鏈/熱門股
3305,昇貿,記憶體產業鏈/熱門股
2413,環科,記憶體產業鏈/熱門股
8131,福懋科,記憶體產業鏈/熱門股
4989,榮科,記憶體產業鏈/熱門股
8150,南茂,記憶體產業鏈/熱門股
6282,康舒,記憶體產業鏈/熱門股
8021,尖點,記憶體產業鏈/熱門股
6770,力積電,記憶體產業鏈/熱門股
8039,台虹,記憶體產業鏈/熱門股
4967,十銓,記憶體產業鏈/熱門股
3167,大量,記憶體產業鏈/熱門股
2408,南亞科,記憶體產業鏈/熱門股
2399,映泰,記憶體產業鏈/熱門股
8110,華東,記憶體產業鏈/熱門股
3006,晶豪科,記憶體產業鏈/熱門股
8271,宇瞻,記憶體產業鏈/熱門股
3715,定穎投控,記憶體產業鏈/熱門股
4977,眾達-KY,記憶體產業鏈/熱門股
